food_number,food_name,cal
06106,しろうり　果実　生　　　,15
06107,しろうり　漬物　塩漬　　,16
06108,しろうり　漬物　奈良漬　　,157
06109,ずいき　生ずいき　生　　　,16
06110,ずいき　生ずいき　ゆで　　　,12
06111,ずいき　干しずいき　乾　　　,246
06112,ずいき　干しずいき　ゆで　　　,13
06113,すぐきな　葉　生　　　,26
06114,すぐきな　根　生　　　,21
06115,すぐきな　すぐき漬　　　,34
06116,ズッキーニ　果実　生　　　,14
06117,せり　茎葉　生　　　,17
06118,せり　茎葉　ゆで　　　,18
06119,セロリ　葉柄　生　　　,15
06120,ぜんまい　生ぜんまい　若芽　生　　,29
06121,ぜんまい　生ぜんまい　若芽　ゆで　　,21
06122,ぜんまい　干しぜんまい　干し若芽　乾　　,293
06123,ぜんまい　干しぜんまい　干し若芽　ゆで　　,29
